ringno_season,yday,yday200,pfmg,sex
CV69746_2018-2019,359,159,0.19824999999999998,unknown
CC46107_2019-2020,339,139,0.36012500000000003,unknown
CV46806_2008-2009,366,166,0.334375,unknown
CC46222_2019-2020,345,145,0.200625,unknown
CV53838_2009-2010,364,164,0,unknown
CV67950_2015-2016,79,244,1,unknown
CV58758_2014-2015,333,133,1,unknown
CC15970_2003-2004,276,76,0,unknown
CV09228_2009-2010,330,130,0.19824999999999998,unknown
CV43096_2009-2010,290,90,1,unknown
CC46220_2019-2020,345,145,0.042625,unknown
CV56842_2010-2011,355,155,0.40287500000000004,unknown
CC46181_2019-2020,342,142,0.32225000000000004,unknown
CV43394_2007-2008,137,302,1,unknown
CV69839_2018-2019,56,221,0.832125,unknown
CC03596_2019-2020,344,144,0.518875,unknown
CV56641_2019-2020,339,139,1,unknown
CC46249_2019-2020,346,146,0.106875,unknown
CV43310_2007-2008,93,258,0.9016250000000001,unknown
CV46874_2008-2009,23,188,0.488125,unknown
CV46640_2008-2009,287,87,0,unknown
CV69807_2018-2019,54,219,0.815,unknown
CC46103_2019-2020,339,139,0.106875,unknown
CV09235_2009-2010,330,130,1,unknown
CV46938_2008-2009,72,237,1,unknown
CV56915_2010-2011,29,194,0.334375,unknown
CV27725_2005-2006,344,144,0.042625,unknown
CV68023_2016-2017,275,75,1,unknown
CV58738_2014-2015,284,84,1,unknown
CC15736_2018-2019,62,227,1,unknown
CV46922_2008-2009,72,237,0.8951250000000001,unknown
CC40205_2019-2020,345,145,1,unknown
CC40204_2019-2020,345,145,0.40287500000000004,unknown
CV58550_2012-2013,318,118,0.042625,unknown
CV56846_2010-2011,355,155,0,unknown
CV58572_2012-2013,357,157,0.374375,unknown
CV58360_2011-2012,21,186,0.2965,unknown
CV56490_2010-2011,256,56,1,unknown
CV58776_2014-2015,24,189,0.6415000000000001,unknown
CV46638_2008-2009,287,87,0,unknown
CV58613_2013-2014,267,67,1,unknown
CV46745_2008-2009,331,131,1,unknown
CC46193_2019-2020,343,143,0.24650000000000002,unknown
CV56671_2019-2020,342,142,1,unknown
CV58780_2014-2015,38,203,0.9225,unknown
CV56524_2010-2011,270,70,0,unknown
CV69690_2018-2019,342,142,1,unknown
CC46206_2019-2020,345,145,0.1655,unknown
CV68175_2016-2017,126,291,1,unknown
CV56648_2019-2020,339,139,0.063625,unknown
CV58880_2015-2016,339,139,1,unknown
CA49868_2021-2022,355,155,1,unknown
CC46186_2019-2020,342,142,0.17400000000000002,unknown
CV56905_2010-2011,29,194,0.549625,unknown
CC15754_2018-2019,109,274,1,unknown
CV58765_2014-2015,333,133,0,unknown
CV78845_2021-2022,355,155,0.656875,unknown
CV56813_2010-2011,343,143,1,unknown
CV56647_2019-2020,339,139,1,unknown
CV56100_2009-2010,107,272,1,unknown
CC46248_2019-2020,346,146,0.285375,unknown
CV42923_2007-2008,321,121,0.488125,unknown
CV68190_2016-2017,140,305,1,unknown
CV09462_2007-2008,288,88,0,unknown
CV08366_2007-2008,305,105,0,male
CV42927_2007-2008,321,121,1,male
CV42949_2007-2008,342,142,1,unknown
CV42957_2007-2008,9,174,0.15175,unknown
CV09462_2007-2008,32,197,0.951875,unknown
CV09512_2007-2008,46,211,0.459625,female
CV43193_2007-2008,46,211,0.9845,unknown
CV07234_2007-2008,47,212,0.9845,male
CV08391_2007-2008,67,232,0.6415000000000001,male
CV42957_2007-2008,67,232,0.6415000000000001,unknown
CV43251_2007-2008,67,232,0.6415000000000001,female
CV43282_2007-2008,87,252,1,female
CV43283_2007-2008,87,252,1,male
CV07234_2007-2008,93,258,1,male
CV43251_2007-2008,93,258,0.898375,female
CV43323_2007-2008,98,263,0.9225,male
CV43344_2007-2008,101,266,1,female
CV42949_2007-2008,103,268,1,unknown
CV08391_2007-2008,106,271,0.9845,male
CV43323_2007-2008,109,274,0.9845,male
CV09512_2007-2008,121,286,1,female
CV43282_2007-2008,121,286,1,female
CV43193_2007-2008,121,286,1,unknown
CV08366_2007-2008,137,302,1,male
CV08391_2007-2008,138,303,1,male
CV42927_2007-2008,138,303,1,male
CV43344_2007-2008,138,303,1,female
CV43283_2007-2008,193,358,0,male
CV46804_2008-2009,366,166,0.085875,female
CV46800_2008-2009,366,166,0.2965,male
CV46896_2008-2009,44,209,0.374375,male
CV46903_2008-2009,45,210,0.6102500000000001,female
CV46903_2008-2009,72,237,0.799375,female
CV46908_2008-2009,72,237,0.9845,male
CV46908_2008-2009,93,258,1,male
CV46896_2008-2009,99,264,0.9065000000000001,male
CV46804_2008-2009,107,272,0.8915000000000001,female
CV46800_2008-2009,107,272,1,male
CV09298_2009-2010,330,130,0.098,unknown
CV53811_2009-2010,363,163,0.41575,male
CV53811_2009-2010,42,207,0.7673749999999999,male
CV09298_2009-2010,49,214,0.9845,unknown
CV56112_2009-2010,84,249,1,unknown
CV56035_2009-2010,84,249,1,male
CV56058_2009-2010,84,249,1,unknown
CV56071_2009-2010,84,249,1,male
CV56075_2009-2010,84,249,1,male
CV56035_2009-2010,145,310,1,male
CV56058_2009-2010,145,310,1,unknown
CV56071_2009-2010,145,310,1,male
CV56075_2009-2010,145,310,1,male
CV56112_2009-2010,145,310,1,unknown
CV56175_2009-2010,145,310,1,male
